event_date,ad_format,show_pv,impression_pv,display_failed_pv,impression_show_rate,impression_plus_failed_show_rate,impression_show_rate_dod,impression_plus_failed_show_rate_dod
2025-12-15,interstitial,1242285,1145419,14850,0.9220259441271528,0.9339797228494267,0.015561304770137507,0.016159647558289247
2025-12-15,rewarded,382892,362543,3224,0.9468544654889629,0.9552745944025992,0.009476370077682095,0.010241575851927975
2025-12-16,interstitial,1272608,1193287,15841,0.9376705159797832,0.9501181825039604,0.015644571852630462,0.016138459654533754
2025-12-16,rewarded,390651,376193,2776,0.9629899833867058,0.9700960704055538,0.016135517897742924,0.014821476002954581
2025-12-17,interstitial,1295254,1224745,15157,0.9455635728590686,0.9572655247542181,0.00789305687928532,0.007147342250257704
2025-12-17,rewarded,393715,381659,2546,0.9693788654229583,0.9758454719784616,0.00638888203625243,0.00574940157290782
2025-12-18,interstitial,1277412,1213929,14308,0.9503034259894224,0.9615041975494202,0.004739853130353855,0.00423867279520207
2025-12-18,rewarded,394169,383654,2732,0.9733236251455594,0.9802546623402653,0.00394475972260111,0.00440919036180365
2025-12-19,interstitial,1298761,1235465,14478,0.9512643203791922,0.9624118679264314,0.0009608943897697619,0.0009076703770112271
2025-12-19,rewarded,397476,388194,2430,0.9766476466503637,0.9827612233191438,0.0033240215048043753,0.0025065609788785803
2025-12-20,interstitial,1295282,1235025,14043,0.9534796283743617,0.9643212829329829,0.0022153079951695576,0.001909415006551507
2025-12-20,rewarded,400701,391915,2433,0.9780734263203735,0.9841452853873587,0.0014257796700097858,0.001384062068214842
2025-12-21,interstitial,1374755,1313752,15302,0.9556262752272223,0.9667569857901953,0.0021466468528605898,0.002435702857212396
2025-12-21,rewarded,433759,423952,2690,0.9773906708563972,0.9835922712842846,-0.0006827554639763367,-0.0005530141030740676
2025-12-22,interstitial,1336305,1276874,14799,0.9555258717134187,0.9666004392709748,-0.00010040351380358192,-0.00015654651922047957
2025-12-22,rewarded,413772,404589,2842,0.977806618137525,0.9846751350985566,0.0004159472811278153,0.0010828638142720282
2025-12-23,interstitial,1331034,1271947,14942,0.9556081963345789,0.9668340553284138,8.232462116020134e-05,0.00023361605743899005
2025-12-23,rewarded,415500,407022,2524,0.979595667870036,0.9856702767749699,0.0017890497325110388,0.000995141676413236
2025-12-24,interstitial,1266090,1211123,13891,0.9565852348569217,0.9675568087576712,0.0009770385223427658,0.0007227534292574278
2025-12-24,rewarded,395615,387654,2594,0.9798769005219721,0.986433780316722,0.0002812326519360253,0.0007635035417521419
2025-12-25,interstitial,1391207,1335228,14525,0.9597622783669145,0.970202852630845,0.0031770435099928163,0.002646043873173798
2025-12-25,rewarded,438289,430304,2800,0.9817814273230676,0.9881699061578091,0.0019045268010955407,0.0017361258410870661
2025-12-26,interstitial,1436987,1378802,16789,0.9595090282653914,0.9711925020894413,-0.0002532501015231059,0.0009896494585962534
2025-12-26,rewarded,474801,466113,2951,0.9817018077047015,0.9879170431401787,-7.961961836611131e-05,-0.0002528630176303892
2025-12-27,interstitial,1436177,1381439,16139,0.9618863134557927,0.9731237862742544,0.002377285190401257,0.0019312841848131423
2025-12-27,rewarded,479193,470622,3077,0.9821136786221836,0.9885348909520798,0.00041187091748207116,0.0006178478119011066
2025-12-28,interstitial,1515820,1457644,17170,0.9616207729149899,0.9729479753532742,-0.0002655405408027445,-0.0001758109209802905
2025-12-28,rewarded,512883,504262,2848,0.9831910981646886,0.9887440215409752,0.0010774195425050648,0.00020913058889537872
2025-12-29,interstitial,1436706,1380318,16733,0.9607518866072808,0.9723986675074789,-0.0008688863077090936,-0.0005493078457952105
2025-12-29,rewarded,487162,478929,2729,0.9831000775922588,0.9887019102475152,-9.102057242982298e-05,-4.2111293459989874e-05
2025-12-30,interstitial,1414378,1359628,16119,0.9612904046867244,0.9726869337616959,0.0005385180794436062,0.0002882662542169623
2025-12-30,rewarded,468577,460402,3030,0.9825535611009504,0.9890199476286715,-0.0005465164913084353,0.00031803738115632196
2025-12-31,interstitial,1280241,1230874,14285,0.9614392915083957,0.9725973469057779,0.00014888682167124578,-8.958685591797799e-05
2025-12-31,rewarded,413805,406459,2490,0.9822476770459516,0.9882650040478003,-0.0003058840549987618,-0.0007549435808712479
2026-01-01,interstitial,1547677,1487673,18320,0.961229636416384,0.9730667316242343,-0.00020965509201165133,0.0004693847184563671
2026-01-01,rewarded,500594,492393,3033,0.9836174624546039,0.989676264597658,0.001369785408652291,0.0014112605498577402
2026-01-02,interstitial,1635749,1570972,20210,0.9603991810479481,0.9727543773525156,-0.0008304553684359561,-0.00031235427171871777
2026-01-02,rewarded,534311,526198,3060,0.9848159592447095,0.9905429609347365,0.001198496790105641,0.0008666963370784764
2026-01-03,interstitial,1648476,1585460,19144,0.961773177164848,0.9733863277354357,0.0013739961168999226,0.0006319503829200768
2026-01-03,rewarded,541353,533565,3008,0.9856138231431247,0.9911702715233868,0.0007978638984151853,0.0006273105886502872
2026-01-04,interstitial,1706288,1644680,18764,0.9638935513817128,0.9748905225846984,0.00212037421686484,0.0015041948492627855
2026-01-04,rewarded,570929,562167,3489,0.9846530829577759,0.9907641755805012,-0.0009607401853488629,-0.0004060959428855426
2026-01-05,interstitial,1523799,1465075,17365,0.9614621088476892,0.972857968800347,-0.002431442534023609,-0.0020325537843514097
2026-01-05,rewarded,521276,513137,3249,0.98438639031914,0.9906191729525242,-0.0002666926386358792,-0.0001450026279770089
2026-01-06,interstitial,1525709,1469986,17182,0.9634773079270031,0.9747389574289723,0.002015199079313912,0.0018809886286252908
2026-01-06,rewarded,524506,516496,3181,0.9847284873766935,0.9907932416407057,0.00034209705755350317,0.00017406868818148347
2026-01-07,interstitial,1484887,1428578,17285,0.9620785958796865,0.9737192123036972,-0.0013987120473166748,-0.00101974512527514
2026-01-07,rewarded,513912,506158,3181,0.98491181369573,0.9911015893771696,0.0001833263190365031,0.000308347736463932
2026-01-08,interstitial,1482548,1427467,15474,0.9628470713933039,0.9732845074830629,0.0007684755136174726,-0.0004347048206342352
2026-01-08,rewarded,516423,508198,3348,0.984073133845704,0.9905561913392703,-0.0008386798500259474,-0.0005453980378993251
2026-01-09,interstitial,1463912,1409920,16018,0.9631180016285132,0.9740599161698245,0.00027093023520929904,0.000775408686761514
2026-01-09,rewarded,506023,498237,3245,0.9846133476146341,0.9910260996041682,0.0005402137689300979,0.0004699082648979003
2026-01-10,interstitial,1505584,1451578,16683,0.9641295337888819,0.9752102838499878,0.0010115321603686445,0.0011503676801633
2026-01-10,rewarded,534970,527285,3078,0.9856347084883265,0.991388302147784,0.0010213608736923119,0.00036220254361574167
2026-01-11,interstitial,1531603,1475996,17245,0.963693594227747,0.9749530393972851,-0.0004359395611348571,-0.00025724445270269847
2026-01-11,rewarded,559336,550579,3749,0.9843439363817097,0.9910465265958207,-0.0012907721066167666,-0.0003417755519632415
2026-01-12,interstitial,1438232,1385093,16013,0.9630525534128013,0.9741863621446332,-0.0006410408149457592,-0.0007666772526518928
2026-01-12,rewarded,518176,510236,3705,0.9846770209349719,0.991827101216575,0.0003330845532621973,0.0007805746207543152
2026-01-13,interstitial,1420566,1367921,16216,0.9629408278108866,0.9743559961311196,-0.00011172560191463621,0.00016963398648639494
2026-01-13,rewarded,513191,505229,3471,0.98448530858881,0.9912488722522413,-0.00019171234616188748,-0.0005782289643336824
2026-01-14,interstitial,1420145,1367863,16527,0.9631854493731274,0.9748229934267275,0.0002446215622408099,0.00046699729560795156
2026-01-14,rewarded,511843,503665,3491,0.9840224443823594,0.9908428951846562,-0.0004628642064505861,-0.0004059770675851615
2026-01-15,interstitial,1355340,1304278,15662,0.962325320583765,0.9738810925671787,-0.0008601287893624798,-0.0009419008595488165
2026-01-15,rewarded,494853,487447,3390,0.9850339393718943,0.9918844586170035,0.0010114949895349001,0.0010415634323472922
2026-01-16,interstitial,1377727,1326607,15843,0.9628954067097473,0.9743947821302769,0.0005700861259823053,0.000513689563098163
2026-01-16,rewarded,497881,490037,3551,0.9842452312902079,0.9913774576655867,-0.0007887080816864067,-0.0005070009514167584
2026-01-17,interstitial,1414391,1365516,14450,0.9654444916575402,0.9756609028196588,0.0025490849477929345,0.0012661206893819221
