product,experiment_group,ad_format,network_name,trigger_pv,show_pv,impression_pv,display_failed_pv,show_rate,impression_rate,display_failed_total_pv,display_failed_share
screw_puzzle,have_is_adx,rewarded,LINE,11412,11412,10688,547,1.0,0.9365580091132142,107112,0.005106804092912092
screw_puzzle,have_is_adx,rewarded,Ogury,70390,70389,66390,491,0.9999857934365677,0.9431871457187913,107112,0.004583986854880873
screw_puzzle,have_is_adx,rewarded,Amazon Ad Marketplace,164479,164476,154922,479,0.9999817605894977,0.9419124978720299,107112,0.0044719545895884685
screw_puzzle,have_is_adx,rewarded,BIGO Ads,76405,76404,73366,474,0.9999869118513186,0.9602376838908958,107112,0.004425274479049966
screw_puzzle,have_is_adx,rewarded,Yandex,91215,91215,85150,224,1.0,0.9335087430795374,107112,0.002091268952124879
screw_puzzle,have_is_adx,rewarded,Google Ad Manager,62991,62989,60665,185,0.9999682494324587,0.9631046690692026,107112,0.001727164089924565
screw_puzzle,have_is_adx,rewarded,APPLOVIN_EXCHANGE,111350,111350,106742,171,1.0,0.9586169735069601,107112,0.00159645978041676
screw_puzzle,have_is_adx,rewarded,PubMatic,10659,10659,10401,67,1.0,0.9757951027300873,107112,0.0006255134812159235
screw_puzzle,have_is_adx,rewarded,__NO_NETWORK__,2340381,0,0,0,0.0,,107112,0.0
screw_puzzle,no_is_adx,rewarded,Unity Ads,670123,670121,615014,20618,0.9999970154732788,0.9177655975562622,91354,0.2256934562252337
screw_puzzle,no_is_adx,rewarded,Facebook,1527195,1527159,1412202,16736,0.9999764273717502,0.9247249304099966,91354,0.18319942202859207
screw_puzzle,no_is_adx,rewarded,MaticooCustomAdapter,79182,79181,62114,13673,0.9999873708671163,0.7844558669377755,91354,0.1496705125117674
screw_puzzle,no_is_adx,rewarded,AppLovin,4021786,4021777,3681161,7561,0.9999977621882418,0.9153070893786502,91354,0.08276594347264488
screw_puzzle,no_is_adx,rewarded,InMobi,570004,569990,551944,5075,0.9999754387688508,0.9683397954350076,91354,0.05555312301595989
screw_puzzle,no_is_adx,rewarded,ironSource,91155,91154,77801,4978,0.9999890296747298,0.8535116396428023,91354,0.05449131948245287
screw_puzzle,no_is_adx,rewarded,Moloco,554191,554188,496681,4720,0.999994586703862,0.8962319646040694,91354,0.051667141011887824
screw_puzzle,no_is_adx,rewarded,Liftoff Monetize,671729,671716,592450,3705,0.9999806469573295,0.8819947715999024,91354,0.04055651640869584
screw_puzzle,no_is_adx,rewarded,Google AdMob,3148639,3148601,3019027,3673,0.9999879312934891,0.9588471197207903,91354,0.04020623070692033
screw_puzzle,no_is_adx,rewarded,Mintegral,207903,207905,185106,2356,1.000009619870805,0.8903393376782666,91354,0.02578978479322197
screw_puzzle,no_is_adx,rewarded,Liftoff_custom,65349,65348,56203,1547,0.9999846975470168,0.860056925996205,91354,0.016934124395209842
screw_puzzle,no_is_adx,rewarded,DT Exchange,253881,253880,245351,1256,0.9999960611467578,0.9664053883724595,91354,0.013748713794688793
screw_puzzle,no_is_adx,rewarded,Chartboost,20272,20272,18493,1178,1.0,0.9122434885556433,91354,0.012894892396610985
screw_puzzle,no_is_adx,rewarded,Pangle,1119421,1119417,1054305,1055,0.9999964267241725,0.9418340082382168,91354,0.011548481730411366
screw_puzzle,no_is_adx,rewarded,LINE,17140,17139,15425,890,0.9999416569428238,0.8999941653538713,91354,0.00974232108063139
screw_puzzle,no_is_adx,rewarded,BidMachine,132027,132025,123468,609,0.9999848515833882,0.9351865177049801,91354,0.006666374761915187
screw_puzzle,no_is_adx,rewarded,Amazon Ad Marketplace,181053,181053,172128,423,1.0,0.9507050421699723,91354,0.0046303391203450315
screw_puzzle,no_is_adx,rewarded,Ogury,78711,78712,74928,389,1.0000127047045522,0.9519260087407256,91354,0.004258160562208551
screw_puzzle,no_is_adx,rewarded,BIGO Ads,79957,79956,76698,298,0.9999874932776367,0.9592525889239082,91354,0.003262035597784443
screw_puzzle,no_is_adx,rewarded,Google Ad Manager,71078,71076,68334,209,0.9999718618981963,0.9614215769035962,91354,0.002287803489721304
screw_puzzle,no_is_adx,rewarded,IsAdxCustomAdapter,4325,4325,3932,128,1.0,0.9091329479768786,91354,0.0014011428071020425
screw_puzzle,no_is_adx,rewarded,APPLOVIN_EXCHANGE,111063,111063,105998,102,1.0,0.9543952531446116,91354,0.0011165356744094403
screw_puzzle,no_is_adx,rewarded,Yandex,109320,109318,102285,98,0.999981705085986,0.9356647578623831,91354,0.0010727499616875013
screw_puzzle,no_is_adx,rewarded,PubMatic,10619,10619,10345,77,1.0,0.9741971937093888,91354,0.0008428749698973225
screw_puzzle,no_is_adx,rewarded,__NO_NETWORK__,2230233,0,0,0,0.0,,91354,0.0
